film_id,avg_rental_cost,avg_hours_rented,avg_hours_rental_allowed,category_id,language_id,hours_length,avg_replacement_cost,rating,description,special_features,actors_in_film,actor_list,total_actor_fame,total_actor_influence,num_rent
231,3.54,134.2,168.0,8,1,1.05,27.99,R,A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies,"{'Behind the Scenes', 'Trailers'}",6,"62,112,120,153,20,36",160.0,631.0,20
232,3.723333,127.4667,168.0,10,1,2.45,29.99,NC-17,A Action-Packed Character Study of a Forensic Psychologist And a Girl who must Build a Dentist in The Outback,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",5,"14,81,194,143,151",145.0,562.0,15
233,2.200526,87.8333,72.0,16,1,2.35,17.99,PG,A Touching Reflection of a Mad Scientist And a Boat who must Face a Moose in A Shark Tank,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",7,"139,150,181,71,104,40,47",208.0,772.0,19
234,3.451538,107.9615,144.0,14,1,1.5667,27.99,R,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,"{'Behind the Scenes', 'Trailers'}",4,"123,76,88,190",110.0,407.0,26
235,3.228095,110.619,144.0,14,1,1.1333,13.99,PG-13,A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery,"{'Commentaries', 'Trailers'}",6,"173,177,23,58,60,61",183.0,684.0,21
236,4.323333,114.0,96.0,10,1,1.6667,19.99,R,A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park,"{'Commentaries', 'Trailers'}",5,"56,69,10,15,17",131.0,531.0,15
237,4.847143,101.8571,72.0,15,1,0.7833,21.99,G,A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",6,"168,177,114,186,61,72",150.0,605.0,7
238,4.99,124.0,96.0,3,1,0.95,29.99,G,A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",6,"84,120,122,125,128,176",173.0,658.0,7
239,5.956667,113.7,120.0,2,1,2.0333,16.99,G,A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans,{'Commentaries'},7,"143,163,105,107,43,60,78",215.0,784.0,30
240,3.434444,150.1111,168.0,14,1,2.0,10.99,PG-13,A Thrilling Display of a Pioneer And a Frisbee who must Escape a Teacher in The Outback,"{'Commentaries', 'Deleted Scenes'}",1,77,24.0,99.0,9
241,2.561429,115.5,96.0,2,1,2.0833,20.99,NC-17,A Awe-Inspiring Tale of a Butler And a Frisbee who must Vanquish a Teacher in Ancient Japan,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",7,"59,14,26,38,158,168,106",216.0,787.0,14
242,3.51381,150.6667,96.0,5,1,1.1333,13.99,R,A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention,"{'Commentaries', 'Trailers'}",8,"108,160,58,67,79,82,24,44",222.0,834.0,21
243,6.516316,105.2941,72.0,2,1,0.8167,22.99,NC-17,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",9,"12,20,50,58,109,134,136,145,197",262.0,986.0,19
244,6.545556,146.037,120.0,12,1,2.3167,26.99,NC-17,A Action-Packed Tale of a Sumo Wrestler And a A Shark who must Meet a Frisbee in California,{'Commentaries'},4,"96,34,67,156",93.0,372.0,27
245,2.99,127.36,96.0,2,1,2.95,28.99,R,A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",8,"25,36,48,95,115,123,73,77",217.0,836.0,25
246,5.79,103.6,120.0,9,1,2.5667,16.99,R,A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert,"{'Deleted Scenes', 'Behind the Scenes'}",5,"169,115,117,123,124",148.0,542.0,10
247,3.39,123.8,72.0,5,1,0.7833,19.99,G,A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",4,"129,82,83,161",126.0,477.0,25
248,5.275714,85.0,144.0,6,1,2.95,20.99,NC-17,A Taut Drama of a Cat And a Girl who must Defeat a Frisbee in The Canadian Rockies,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",6,"142,152,159,169,50,63",160.0,607.0,7
249,1.180476,113.2857,168.0,4,1,2.9333,26.99,G,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,{'Commentaries'},13,"52,63,70,72,83,86,113,129,137,197,2,41,155",356.0,1395.0,21
250,2.535455,117.5455,96.0,1,1,2.8333,26.99,NC-17,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,"{'Deleted Scenes', 'Behind the Scenes'}",8,"179,49,87,99,100,101,125,134",213.0,825.0,11
251,5.767778,115.3529,144.0,13,1,2.2167,19.99,NC-17,A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria,"{'Behind the Scenes', 'Trailers'}",3,"76,147,10",84.0,317.0,18
252,3.717273,121.7727,144.0,1,1,2.25,18.99,PG,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",4,"33,41,164,176",108.0,422.0,22
253,5.906667,109.5652,120.0,1,1,1.0167,18.99,PG-13,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,"{'Behind the Scenes', 'Trailers'}",7,"165,60,87,190,14,21,37",201.0,770.0,24
254,3.878889,94.0588,96.0,15,1,2.65,11.99,PG-13,A Lacklusture Character Study of a Butler And a Car who must Redeem a Boat in An Abandoned Fun House,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",8,"13,23,46,58,89,147,114,137",235.0,897.0,18
255,5.51381,116.0476,144.0,12,1,2.9167,21.99,NC-17,A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft,"{'Deleted Scenes', 'Trailers'}",7,"101,120,166,168,8,14,68",193.0,743.0,21
256,5.434444,120.2222,144.0,15,1,2.9667,20.99,R,A Fanciful Documentary of a Husband And a Explorer who must Reach a Madman in Ancient China,"{'Commentaries', 'Trailers'}",8,"53,67,6,24,35,97,126,136",194.0,798.0,9
258,1.913077,140.3846,144.0,11,1,1.6,11.99,PG,A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park,{'Trailers'},7,"113,138,14,57,140,180,197",201.0,777.0,13
259,3.99,100.6667,96.0,2,1,1.9333,15.99,NC-17,A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank,{'Behind the Scenes'},2,"104,28",62.0,225.0,6
260,6.9275,102.9375,72.0,15,1,2.2,9.99,G,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,"{'Deleted Scenes', 'Trailers'}",7,"30,37,124,78,80,81,144",205.0,797.0,16
261,0.99,45.8571,120.0,6,1,2.85,13.99,G,A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention,{'Commentaries'},3,"139,77,78",83.0,325.0,7
262,2.323333,117.3333,120.0,8,1,1.9833,17.99,NC-17,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,{'Behind the Scenes'},9,"60,79,80,90,136,30,198,139,156",270.0,1016.0,6
263,5.566923,111.0,144.0,15,1,2.5667,14.99,R,A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft,"{'Commentaries', 'Trailers'}",9,"156,8,28,74,83,101,124,126,137",243.0,928.0,26
264,3.545556,120.25,144.0,10,1,1.6833,13.99,G,A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan,"{'Commentaries', 'Deleted Scenes'}",1,198,40.0,136.0,9
265,5.519412,97.7647,120.0,5,1,2.8,28.99,PG,A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California,{'Behind the Scenes'},2,"78,185",56.0,216.0,17
266,2.51,111.16,96.0,4,1,2.35,27.99,PG-13,A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat,{'Deleted Scenes'},5,"139,89,189,19,123",138.0,531.0,25
267,6.944545,127.9524,96.0,13,1,2.3333,14.99,NC-17,A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",6,"160,57,79,81,16,48",167.0,603.0,22
268,5.99,145.8571,144.0,2,1,1.6,27.99,NC-17,A Amazing Panorama of a Mad Scientist And a Husband who must Meet a Woman in The Outback,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",6,"18,102,137,53,81,83",189.0,698.0,7
269,3.305789,120.6842,72.0,8,1,1.6333,22.99,R,A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria,{'Behind the Scenes'},5,"79,16,20,161,135",137.0,518.0,19
270,1.511739,135.0455,168.0,13,1,1.4167,29.99,NC-17,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",3,"133,94,150",97.0,349.0,23
271,6.555217,143.8261,120.0,1,1,2.4667,12.99,G,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",3,"103,136,16",89.0,322.0,23
272,6.19,118.0667,120.0,7,1,2.55,9.99,NC-17,A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat,{'Deleted Scenes'},3,"189,144,62",88.0,318.0,15
273,2.15,136.9167,144.0,8,1,1.7833,14.99,PG,A Beautiful Display of a Pastry Chef And a Pastry Chef who must Outgun a Forensic Psychologist in A Manhattan Penthouse,{'Commentaries'},7,"117,27,29,44,47,171,178",200.0,754.0,25
274,5.037619,140.1429,96.0,6,1,1.1167,20.99,PG,A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station,"{'Commentaries', 'Behind the Scenes'}",5,"154,162,50,20,38",140.0,554.0,21
275,4.284118,145.2941,72.0,11,1,1.4167,11.99,PG,A Intrepid Story of a Madman And a Secret Agent who must Outrace a Astronaut in An Abandoned Amusement Park,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",5,"15,160,101,73,94",140.0,507.0,17
276,5.69,128.6,144.0,5,1,1.9167,28.99,NC-17,A Awe-Inspiring Reflection of a Waitress And a Squirrel who must Kill a Mad Cow in A Jet Boat,"{'Commentaries', 'Behind the Scenes'}",4,"65,154,196,43",118.0,445.0,10
277,6.418571,110.2857,96.0,11,1,2.1,24.99,PG-13,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,{'Behind the Scenes'},5,"1,24,37,107,115",148.0,565.0,14
278,5.704286,84.1429,96.0,12,1,2.5833,19.99,NC-17,A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",5,"108,134,190,63,146",135.0,504.0,7
279,5.19,113.0,168.0,15,1,2.5333,11.99,NC-17,A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",3,"162,83,18",80.0,325.0,10
280,1.46619,140.5714,168.0,3,1,2.95,26.99,G,A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House,{'Deleted Scenes'},9,"15,16,17,18,105,133,64,80,93",256.0,993.0,21
281,1.463684,111.2222,144.0,10,1,2.3833,9.99,G,A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon,"{'Behind the Scenes', 'Trailers'}",6,"83,84,11,21,161,109",170.0,669.0,19
282,2.095263,115.5263,120.0,7,1,1.5333,20.99,NC-17,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,{'Trailers'},4,"29,49,139,154",117.0,431.0,19
283,1.717273,110.6364,144.0,13,1,1.4167,10.99,NC-17,A Unbelieveable Display of a Dentist And a Madman who must Vanquish a Squirrel in Berlin,"{'Commentaries', 'Behind the Scenes'}",5,"163,11,36,105,66",140.0,529.0,11
284,6.231379,117.4483,120.0,12,1,1.2833,23.99,NC-17,A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India,{'Trailers'},4,"14,139,196,121",118.0,439.0,29
285,3.456667,122.4333,72.0,14,1,0.85,18.99,PG-13,A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China,{'Deleted Scenes'},5,"103,150,156,53,54",141.0,522.0,30
286,3.212222,133.4118,168.0,16,1,2.6333,16.99,NC-17,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,{'Commentaries'},9,"72,165,181,185,123,127,133,5,30",264.0,998.0,18
287,3.19,147.0667,120.0,1,1,2.9333,19.99,R,A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",4,"16,28,48,104",115.0,418.0,15
288,3.23,111.16,168.0,16,1,2.7833,20.99,R,A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans,{'Trailers'},4,"126,136,5,50",116.0,448.0,25
289,5.847143,123.7143,120.0,13,1,1.1,25.99,G,A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",6,"3,101,124,169,177,188",167.0,660.0,7
290,1.913077,85.6154,96.0,9,1,2.7167,29.99,PG,A Fateful Display of a Waitress And a Dentist who must Reach a Butler in Nigeria,"{'Commentaries', 'Trailers'}",5,"70,82,84,85,39",144.0,557.0,13
291,2.24,124.4167,120.0,15,1,2.9,10.99,PG-13,A Fanciful Character Study of a Feminist And a Madman who must Find a Explorer in A Baloon Factory,{'Behind the Scenes'},6,"22,64,193,144,157,179",175.0,677.0,12
292,3.228095,114.1429,72.0,1,1,0.85,20.99,G,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,{'Commentaries'},8,"54,69,107,110,113,7,14,30",215.0,856.0,21
293,4.066923,125.0769,144.0,15,1,2.7833,17.99,G,A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",5,"39,144,145,158,191",156.0,577.0,13
294,6.156667,126.5556,120.0,16,1,2.3,26.99,PG-13,A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat,{'Deleted Scenes'},3,"22,95,167",83.0,334.0,18
295,3.49,123.1429,72.0,6,1,1.6167,14.99,PG,A Amazing Character Study of a Mad Cow And a Squirrel who must Discover a Hunter in A U-Boat,"{'Behind the Scenes', 'Trailers'}",4,"147,48,59,62",113.0,412.0,28
296,3.836154,100.3846,120.0,14,1,2.9667,23.99,R,A Boring Drama of a Astronaut And a Boat who must Face a Boat in California,{'Trailers'},8,"68,72,85,29,46,191,146,171",231.0,879.0,13
297,3.823333,124.1667,144.0,4,1,2.0333,29.99,G,A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",7,"156,166,187,60,85,98,121",195.0,737.0,6
298,4.411053,118.8947,96.0,14,1,2.8667,13.99,PG-13,A Thrilling Story of a Cat And a Waitress who must Fight a Explorer in The Outback,"{'Commentaries', 'Trailers'}",5,"117,195,147,174,56",143.0,548.0,19
299,1.931176,87.8824,96.0,16,1,2.4,9.99,PG-13,A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",6,"60,79,128,31,154,170",163.0,651.0,17
300,5.807727,113.1905,120.0,2,1,1.7,21.99,PG-13,A Fateful Saga of a Sumo Wrestler And a Hunter who must Redeem a A Shark in New Orleans,"{'Commentaries', 'Behind the Scenes'}",4,"122,136,66,69",109.0,410.0,22
301,2.437931,111.4444,96.0,11,1,2.5833,24.99,R,A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin,{'Trailers'},9,"54,75,78,95,156,169,181,182,30",239.0,951.0,29
302,3.884737,117.3158,120.0,10,1,2.1833,29.99,G,A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia,{'Commentaries'},3,"108,115,172",87.0,342.0,19
303,1.759231,125.0769,144.0,1,1,0.9667,27.99,PG-13,A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention,{'Behind the Scenes'},9,"155,157,163,176,196,198,50,86,90",275.0,1015.0,26
304,4.656667,99.5833,72.0,3,1,2.1667,28.99,G,A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback,{'Deleted Scenes'},5,"70,81,88,163,137",127.0,506.0,24
305,3.847143,126.5714,144.0,13,1,1.5167,24.99,PG,A Beautiful Drama of a Student And a Secret Agent who must Confront a Dentist in Ancient Japan,"{'Behind the Scenes', 'Trailers'}",6,"114,65,33,41,147,168",174.0,655.0,28
306,3.808182,136.7273,72.0,10,1,1.7333,12.99,PG-13,A Thoughtful Yarn of a Monkey And a Teacher who must Find a Dog in Australia,"{'Deleted Scenes', 'Trailers'}",9,"150,166,50,58,69,82,89,124,33",246.0,969.0,11
307,5.759231,132.1538,144.0,16,1,1.2833,9.99,NC-17,A Lacklusture Reflection of a Dentist And a Hunter who must Meet a Teacher in A Baloon,"{'Deleted Scenes', 'Behind the Scenes'}",7,"53,55,56,61,64,163,122",179.0,711.0,26
308,4.695882,98.9412,72.0,5,1,2.3667,13.99,PG,A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",1,31,18.0,94.0,17
309,1.59,109.68,144.0,8,1,1.6333,29.99,R,A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",4,"32,42,104,198",121.0,430.0,25
310,6.79,137.6,120.0,10,1,2.6333,20.99,R,A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico,"{'Commentaries', 'Deleted Scenes'}",3,"190,17,147",90.0,329.0,5
311,3.095263,137.3684,96.0,9,1,1.2,14.99,PG,A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",8,"178,181,198,188,118,132,25,29",229.0,853.0,19
312,6.49,114.7,96.0,14,1,1.25,20.99,R,A Boring Tale of a Squirrel And a Dog who must Challenge a Madman in The Gulf of Mexico,"{'Deleted Scenes', 'Behind the Scenes'}",11,"32,48,84,87,144,155,95,97,112,124,128",306.0,1201.0,10
313,6.609048,127.5714,120.0,11,1,1.9667,11.99,G,A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",4,"104,17,173,183",109.0,406.0,21
314,2.717273,104.5238,72.0,2,1,1.5167,13.99,R,A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",3,"146,154,2",86.0,340.0,22
315,2.406667,120.9167,96.0,8,1,2.6,10.99,R,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,"{'Commentaries', 'Trailers'}",5,"48,103,105,189,68",144.0,512.0,12
316,5.704286,122.8571,120.0,10,1,2.8833,18.99,R,A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria,{'Trailers'},5,"58,82,5,117,143",156.0,567.0,7
317,2.894762,132.9048,96.0,5,1,2.4667,25.99,PG,A Amazing Yarn of a Dentist And a A Shark who must Vanquish a Madman in An Abandoned Mine Shaft,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",5,"37,57,71,84,126",137.0,544.0,21
319,4.35,117.48,96.0,14,1,2.0833,22.99,R,A Touching Display of a Feminist And a Girl who must Confront a Astronaut in Australia,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",2,"167,46",50.0,206.0,25
320,6.076957,104.3043,96.0,13,1,1.3333,28.99,PG-13,A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert,{'Trailers'},9,"39,42,146,176,96,131,135,55,94",238.0,908.0,23
321,7.143846,121.2308,72.0,13,1,2.05,21.99,NC-17,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",7,"74,157,2,8,18,21,30",173.0,691.0,13
322,4.126364,125.0909,120.0,15,1,1.6667,29.99,G,A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",9,"44,170,188,73,94,99,112,113,124",247.0,968.0,22
324,7.931176,135.2353,72.0,5,1,2.4667,11.99,PG-13,A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",4,"125,196,164,182",111.0,409.0,17
326,4.19,142.8421,144.0,2,1,1.15,18.99,NC-17,A Thrilling Display of a Mad Cow And a Dog who must Challenge a Frisbee in Nigeria,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",8,"157,166,169,15,40,102,128,130",238.0,929.0,20
327,7.642174,128.4783,72.0,1,1,2.6333,24.99,PG,A Lacklusture Tale of a Crocodile And a Composer who must Defeat a Madman in A U-Boat,"{'Commentaries', 'Trailers'}",2,"50,26",65.0,238.0,23
328,3.374615,111.0,168.0,3,1,2.1833,28.99,NC-17,A Unbelieveable Panorama of a Technical Writer And a Man who must Pursue a Frisbee in A U-Boat,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",1,142,31.0,108.0,13
329,4.878889,130.7778,96.0,1,1,1.05,15.99,R,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,{'Commentaries'},5,"3,26,95,102,198",167.0,611.0,18
330,5.434444,125.8462,168.0,2,1,1.8667,22.99,NC-17,A Fateful Tale of a Squirrel And a Forensic Psychologist who must Redeem a Man in Nigeria,"{'Behind the Scenes', 'Trailers'}",3,"43,45,90",91.0,334.0,27
331,4.02125,133.7188,144.0,10,1,1.5,25.99,NC-17,A Astounding Display of a Forensic Psychologist And a Mad Scientist who must Challenge a Girl in New Orleans,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",3,"68,72,86",83.0,308.0,32
333,3.107647,91.3529,168.0,12,1,2.1,16.99,R,A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico,"{'Behind the Scenes', 'Trailers'}",5,"147,103,105,127,42",155.0,536.0,17
334,5.511739,126.6957,144.0,11,1,1.0833,21.99,NC-17,A Intrepid Saga of a Man And a Lumberjack who must Vanquish a Husband in The Outback,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",3,"27,60,102",109.0,373.0,23
335,1.19,70.6,120.0,5,1,2.2167,23.99,PG-13,A Emotional Reflection of a Dentist And a Mad Cow who must Face a Squirrel in A Baloon,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",5,"24,29,38,64,91",128.0,488.0,5
336,6.048824,122.6471,120.0,6,1,1.65,22.99,PG,A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin,{'Behind the Scenes'},7,"116,128,168,184,3,34,41",190.0,742.0,17
337,3.718182,131.8,144.0,9,1,1.2167,11.99,R,A Fateful Story of a Lumberjack And a Car who must Escape a Boat in An Abandoned Mine Shaft,"{'Deleted Scenes', 'Trailers'}",5,"13,117,62,85,94",161.0,567.0,11
338,5.99,148.125,144.0,14,1,0.85,23.99,PG,A Beautiful Documentary of a Woman And a Pioneer who must Pursue a Mad Scientist in A Shark Tank,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",9,"65,92,107,116,121,125,133,188,38",275.0,1011.0,9
339,1.69,123.2,120.0,16,1,1.85,17.99,R,A Unbelieveable Yarn of a Mad Scientist And a Cat who must Chase a Lumberjack in Australia,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",6,"83,93,114,143,149,167",171.0,655.0,10
340,5.99,152.3333,144.0,13,1,3.05,14.99,PG-13,A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House,"{'Commentaries', 'Deleted Scenes'}",6,"161,55,57,83,5,26",177.0,673.0,6
341,2.556667,133.7586,120.0,4,1,1.3667,13.99,PG,A Amazing Reflection of a Lumberjack And a Cat who must Discover a Husband in A MySQL Convention,"{'Deleted Scenes', 'Trailers'}",7,"3,52,80,141,147,167,134",183.0,732.0,30
342,5.171818,96.3636,168.0,16,1,1.3833,28.99,R,A Taut Epistle of a Feminist And a Sumo Wrestler who must Battle a Crocodile in Australia,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",11,"97,133,66,80,89,15,29,148,151,159,171",291.0,1159.0,11
343,3.39,90.0,144.0,3,1,1.5667,14.99,PG,A Beautiful Documentary of a Astronaut And a Moose who must Pursue a Monkey in A Shark Tank,"{'Deleted Scenes', 'Trailers'}",6,"159,70,77,80,110,124",148.0,590.0,5
344,3.358421,122.4211,72.0,3,1,2.9667,28.99,PG-13,A Lacklusture Reflection of a Boat And a Forensic Psychologist who must Fight a Waitress in A Monastery,{'Deleted Scenes'},4,"82,159,12,43",114.0,431.0,19
345,3.042632,115.5556,72.0,8,1,2.6833,17.99,PG,A Fateful Display of a Cat And a Pioneer who must Challenge a Pastry Chef in A Baloon Factory,"{'Commentaries', 'Trailers'}",8,"16,26,48,64,106,128,132,172",228.0,841.0,19
346,6.434444,103.3333,96.0,4,1,2.1333,13.99,R,A Emotional Reflection of a Womanizer And a Pioneer who must Face a Squirrel in Berlin,{'Deleted Scenes'},3,"182,200,13",79.0,302.0,18
347,5.204286,92.7857,168.0,16,1,1.9833,17.99,PG-13,A Astounding Documentary of a Butler And a Explorer who must Challenge a Butler in A Monastery,{'Behind the Scenes'},8,"27,198,65,68,75,164,103,126",240.0,872.0,14
348,1.342941,127.5882,168.0,8,1,1.4333,9.99,PG-13,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin,{'Trailers'},8,"97,107,129,49,54,76,11,20",237.0,887.0,17
349,4.175185,107.1852,96.0,2,1,3.0833,27.99,PG-13,A Taut Character Study of a Woman And a A Shark who must Confront a Frisbee in Berlin,{'Behind the Scenes'},4,"22,48,156,169",103.0,402.0,27
350,7.24,120.85,72.0,14,1,1.3333,21.99,G,A Unbelieveable Character Study of a Womanizer And a Madman who must Reach a Man in The Outback,"{'Behind the Scenes', 'Trailers'}",3,"142,66,108",96.0,338.0,20
351,3.9275,95.5625,96.0,11,1,1.7667,10.99,PG,A Amazing Epistle of a Boy And a Astronaut who must Redeem a Man in The Gulf of Mexico,"{'Deleted Scenes', 'Trailers'}",5,"102,133,147,7,47",156.0,589.0,16
352,2.262727,102.0909,96.0,10,1,2.9333,22.99,PG-13,A Intrepid Tale of a Pioneer And a Moose who must Conquer a Frisbee in A MySQL Convention,"{'Commentaries', 'Behind the Scenes'}",3,"193,194,174",69.0,282.0,11
